,Sentiment
22655,2
31603,2
25512,0
23622,2
32550,0
835,1
25093,0
3727,2
39013,1
8907,0
14977,2
9701,0
11783,2
1735,0
21433,0
19283,2
1608,0
7553,0
20194,0
23691,2
13754,0
2823,1
18025,1
30106,1
15448,0
31408,2
21721,2
25914,0
13439,2
11550,1
8867,0
22712,1
22345,2
14814,2
4908,1
2585,2
13415,2
12288,0
25244,2
17384,0
24187,0
4584,0
711,2
32313,2
35756,0
20735,0
16167,1
15107,1
13780,2
26482,2
40651,0
16816,2
23574,1
26463,0
20203,1
25725,2
16882,0
20972,0
27444,0
23029,0
28171,0
28794,0
6351,1
31764,0
18577,2
7160,2
4890,1
17951,2
26040,2
30391,1
36814,2
38555,2
4124,0
15566,1
6079,1
36681,0
1692,0
28118,0
38698,2
24960,1
21477,2
30834,0
36787,0
8565,2
18843,0
3997,1
327,0
15386,2
15954,2
16511,2
31155,2
19805,0
39012,2
28136,1
26776,0
16024,2
29980,1
23957,1
957,2
18192,2
28746,2
30337,2
15532,2
21117,2
3907,0
32413,0
34339,1
24444,1
8831,2
16028,2
2350,2
32933,2
11066,0
34215,1
39302,2
6530,2
34231,1
37551,2
34501,0
25731,2
1791,0
6746,0
39811,1
13489,0
17063,1
28511,2
27722,0
19874,0
13233,1
12966,1
16236,2
2103,1
14864,1
38193,2
23733,2
5307,0
32866,2
3878,2
35269,2
38104,2
25656,1
29894,0
8261,2
40247,2
22449,1
38572,1
5321,2
36035,1
6355,1
5866,2
14114,1
19318,0
4358,0
32424,1
23933,2
27865,1
29821,0
11706,0
33066,2
25586,2
34724,1
16088,1
4625,1
32877,2
32588,0
17691,2
7152,2
6775,2
36628,2
40052,1
6102,2
40990,0
3160,0
18069,1
2702,0
28945,2
8088,1
10215,0
9994,0
27266,1
9028,0
36208,1
25521,1
1359,1
10051,0
21181,2
18219,0
2186,1
15908,0
1374,0
12679,2
25437,1
40767,0
14729,1
38118,0
728,2
29614,2
22016,2
10515,2
11876,1
38575,0
2545,0
18867,0
31700,1
22485,2
19379,0
31342,2
34198,0
481,2
19766,2
11540,2
9010,1
31636,0
38659,0
20083,0
5115,0
25708,0
34325,2
21448,1
11677,2
38107,1
1072,1
14172,2
18750,2
34275,1
23216,2
8361,0
14115,1
39277,2
12203,0
37347,2
9709,2
16910,0
38716,2
18776,1
5049,2
38843,0
901,1
863,2
10806,0
32684,0
9099,0
18087,2
3207,0
1826,0
37259,1
2940,1
34858,1
27863,0
8340,0
31140,1
2625,1
40092,2
3545,0
24703,1
6723,2
31440,0
31205,2
7134,2
26270,0
10115,1
21398,1
20251,1
35687,0
38329,2
25100,2
7698,0
31591,2
5556,2
26759,0
7097,2
26450,0
33184,2
16400,0
9728,0
14739,2
13293,0
3162,2
19799,1
39245,0
38348,1
25795,1
2151,2
17112,0
9347,0
2638,2
11456,1
14028,1
35276,2
20731,1
31712,2
29686,2
5182,0
12952,2
15758,1
13662,0
7521,1
28464,0
8005,0
17880,2
38624,2
40167,0
4455,0
743,0
19894,2
31811,1
23962,0
17795,2
13305,2
15557,0
10615,2
17325,2
1363,0
28254,2
19405,0
11672,2
28617,2
22490,2
15125,1
3480,2
20388,2
21845,1
34544,2
18857,1
14312,0
22273,0
23496,1
10913,2
34951,2
7523,0
2592,0
12890,1
5763,0
6292,2
37344,2
14570,2
28473,2
16703,0
3119,2
10502,2
25872,2
21763,2
10863,0
13547,2
26513,2
3428,0
12848,1
18135,2
5299,0
5562,0
36587,1
14567,0
20168,2
24369,2
1790,0
12513,2
22972,0
37147,2
39390,2
40400,1
33253,0
38531,1
12366,2
33902,0
32347,0
37917,2
1169,1
30566,0
13481,2
17689,2
22024,0
9270,0
8932,0
16761,2
30267,0
33675,1
33555,0
26923,2
37732,1
26501,0
35682,2
24403,2
11899,0
28338,0
33918,2
15837,2
41116,1
10576,2
40175,2
21405,0
32470,2
7214,0
19597,1
12535,2
9614,2
26282,0
21915,0
33983,0
16007,2
34264,2
22202,2
41027,0
25300,1
21069,2
32124,0
26891,2
12302,1
1492,2
31266,2
23828,2
29921,0
26818,0
41055,1
27399,2
4112,0
13230,0
17645,2
18884,0
20079,0
41096,0
9793,0
5363,0
22815,0
19916,1
24504,0
30142,2
14778,0
18572,0
38970,0
5286,0
26422,0
145,0
35696,1
18033,1
6747,2
2710,2
9802,0
31865,0
29794,2
31851,1
16341,2
23473,0
29557,0
33023,1
35980,0
2778,2
21180,2
6953,2
37205,2
37621,2
18605,0
10575,2
1816,2
4957,0
21637,0
26552,2
25262,2
3183,2
30788,0
31176,1
14776,0
15211,2
27548,2
7446,2
30234,2
4047,1
12293,2
3546,0
8678,0
19252,1
30539,2
17809,0
1032,2
27743,1
27297,0
20702,0
3766,2
4292,0
32692,1
38172,1
22596,1
1752,2
8278,0
20556,2
10313,2
5351,1
40976,2
29965,2
37352,2
9805,1
31625,0
21039,2
33886,2
21855,0
25091,0
30168,2
30743,0
39957,0
29456,0
15967,2
23611,2
27404,0
19626,0
21949,2
34729,1
4717,2
38289,2
29568,2
3170,0
23081,2
12567,2
39627,0
5960,2
4708,2
2187,1
31675,0
14910,0
36899,2
2920,0
18872,1
29895,0
19835,1
39606,1
39318,0
8030,2
15438,2
29531,0
38941,2
13104,0
30491,2
631,0
6647,1
23038,0
12529,0
32016,1
5571,0
5439,1
23365,1
33476,2
23451,1
39154,0
1301,0
19758,2
28010,0
255,1
25557,0
30367,2
11139,0
36192,2
17405,0
10273,2
28093,0
27966,0
7112,0
18698,2
25482,0
20581,2
28342,2
23843,2
34749,2
28840,2
27772,2
5223,0
8623,2
11491,1
29698,0
12283,0
30704,2
22245,2
28098,1
20381,2
11758,2
39579,1
6631,0
917,1
32012,2
9446,2
12459,2
40676,1
9187,1
29497,2
31344,0
24052,0
10159,0
30482,1
3553,2
2972,2
23333,2
14541,2
3995,2
24451,1
1443,0
25435,2
27149,1
39653,0
32908,2
37321,2
34412,2
1343,2
18356,0
13839,2
36659,0
8483,0
23594,0
7635,0
9337,1
4396,2
22258,0
27368,2
8586,0
14831,0
9705,2
39794,1
37430,1
18673,0
24105,2
36443,1
22372,2
496,0
34928,0
16293,0
35770,2
24480,2
24160,1
33088,1
39358,0
9381,1
28469,2
23636,0
29639,2
40100,1
30453,0
9303,1
38710,0
19253,0
17619,2
13715,2
14169,2
6347,2
40254,2
17303,2
10259,2
37805,0
13821,0
14843,1
30415,0
9110,0
34715,2
39961,0
24029,2
39386,2
18400,1
28715,2
9724,0
13325,1
24377,0
20188,2
24378,2
21279,0
37996,2
37903,2
28811,0
25519,0
15036,2
14646,2
18746,0
24164,2
34716,1
5191,2
5695,1
10439,2
16320,1
35184,0
30158,2
32381,1
2212,0
34844,2
554,1
1989,0
3047,2
24503,0
11750,0
27114,0
26258,0
28951,0
19951,2
24013,2
33414,0
29957,0
15530,1
27711,2
35318,0
32521,2
33154,0
5453,2
19085,2
7839,2
37305,2
18216,0
40151,2
40772,1
20189,0
40364,2
13064,2
19032,1
39191,2
26784,1
16079,2
14290,2
7755,0
38242,0
40431,2
39028,2
30767,2
34444,1
23150,2
19163,2
33839,1
482,0
12596,2
33093,1
30681,2
36355,2
32787,0
19973,0
13402,2
31198,2
38888,0
20716,0
8934,2
35468,2
36298,2
33541,0
37289,2
5993,0
15144,1
39472,0
28908,2
9667,1
37792,2
17255,2
16865,0
38607,0
30419,0
38190,2
5412,2
11919,0
16141,2
9531,1
33834,0
25402,0
15802,2
2958,0
39896,0
5089,2
39976,2
4414,1
13218,2
33617,2
25221,2
34411,2
25965,2
1729,0
30340,1
29460,0
11014,2
30633,0
18433,2
32798,2
363,0
10168,0
31332,1
33875,2
31277,2
1008,2
37923,2
10510,2
16470,0
25500,1
15179,0
26050,2
32940,0
2776,2
16166,0
34248,1
13797,0
20417,1
34409,1
17238,2
23300,1
8864,2
5005,2
4346,0
36648,0
16547,2
22868,0
10895,2
27315,2
39553,2
25215,2
14000,1
27702,0
15432,0
8505,0
4723,0
28554,1
10622,0
2349,0
38855,1
37798,0
11956,2
4251,0
13360,2
24075,2
5156,0
5940,0
40937,0
10079,2
30675,2
464,2
35401,2
10481,0
8908,2
15034,2
5521,0
19530,0
31673,2
41073,2
13319,2
4286,0
29969,2
16385,0
13952,1
8221,0
26236,0
9300,1
20608,1
6996,2
39409,2
38629,2
24506,2
20024,2
29654,2
30239,2
629,2
8854,1
10714,0
21544,1
40319,1
678,2
21248,1
8849,2
24167,1
3369,1
27694,2
658,0
27632,2
29947,1
39873,2
14777,2
6881,2
35990,0
37167,1
8631,2
19335,0
21735,2
18376,0
26307,2
38150,0
25176,0
8838,2
12616,2
33930,2
17523,0
13247,2
16455,2
19241,1
28243,2
19483,0
17544,2
37431,2
16946,2
5180,1
6603,0
4947,1
8307,1
35309,2
17932,2
30396,0
38705,2
20671,0
1061,0
19050,2
13054,0
26748,0
25538,0
33053,2
35273,2
10132,2
40156,2
2861,0
11546,1
10268,1
3924,2
40531,2
13278,2
12339,2
32420,2
37626,2
29399,1
21750,1
7232,1
29797,0
22831,0
87,0
39280,1
22509,2
39587,0
39881,1
7608,0
821,0
23279,2
4098,2
37506,0
31240,0
22766,1
27913,1
28588,0
41083,0
16155,0
7507,0
25659,0
6514,0
19434,0
17329,2
3850,1
17555,0
5302,0
38026,2
10498,0
17506,2
6899,2
16810,1
3865,2
22423,0
14561,0
21270,2
13262,0
37987,0
11774,2
34156,2
15826,2
39108,0
37561,2
38673,2
2826,2
11204,1
8657,2
30047,2
31836,2
40847,0
7308,2
22676,1
18801,0
11011,2
9453,2
40993,2
21480,0
30026,1
21559,2
13314,1
39789,2
24654,0
20458,2
32475,2
36574,2
13791,2
5527,0
20206,2
5042,0
21166,0
34801,1
29555,2
25657,2
15143,2
31556,2
37515,0
16354,2
35601,2
26616,2
12431,2
13202,0
23344,2
22977,1
7261,0
5009,1
5660,0
9896,2
36353,2
34362,2
37961,2
22871,1
7369,0
4587,0
22857,1
28873,1
41003,0
37759,0
1132,2
32648,2
38550,2
26962,1
1654,0
5356,0
25966,0
4218,0
27022,0
21570,0
32664,1
19404,2
9653,2
9102,2
41046,0
24315,0
33055,1
6589,0
14985,0
4287,0
39655,0
10760,2
40727,2
12688,2
3541,1
38441,1
9663,1
39595,2
973,0
10227,2
29139,0
14538,2
31515,0
19171,2
29436,2
23066,1
21503,0
7497,0
4916,1
19347,1
1642,0
8742,0
32131,1
19274,2
14302,2
13205,2
38632,0
36401,2
4897,2
27742,0
4048,2
36111,2
2386,0
27047,2
38935,2
33182,2
16929,2
20006,2
39567,2
20070,2
33919,0
28267,0
8741,0
26238,0
19176,0
23940,2
17456,2
15510,2
22254,2
24330,0
2589,0
6011,2
21249,0
836,2
26570,1
15215,1
16115,2
23214,1
33247,1
9830,0
30790,1
28439,0
20097,2
15356,2
23633,1
12685,0
2201,0
13321,2
12142,2
34214,0
6494,0
26841,0
3561,2
6791,2
8175,2
20342,2
37437,1
1925,2
10071,2
10600,0
6446,0
23217,1
12070,2
33731,2
34706,0
5023,0
18741,2
8110,2
24114,2
32556,0
18932,0
8373,2
39462,0
15881,1
3089,2
33410,1
32142,0
27187,2
22518,1
30178,2
24886,0
37,0
31194,2
24309,1
16759,0
39706,0
22321,0
39922,2
17933,2
2006,0
25474,2
10790,2
19999,2
29433,2
33244,0
18282,2
39166,2
32496,0
16715,1
9467,0
32133,2
23593,0
27817,2
15311,0
14089,1
21083,1
17510,0
33282,1
31997,0
36817,2
3819,0
21987,0
22100,1
9968,2
34901,2
26791,0
7052,2
5893,1
8154,1
20918,2
24025,0
30585,0
4337,0
24610,1
7435,0
26301,2
6956,2
29849,0
16852,2
33225,1
4942,2
6033,2
22290,1
40289,2
32110,0
39703,2
6584,0
34112,2
30864,1
11441,0
22511,0
30649,2
9553,0
23464,2
23596,2
32389,1
35586,0
26826,2
19697,1
2761,0
30127,0
32911,1
15693,1
23476,2
13475,0
96,2
13372,2
2721,0
3129,2
19763,0
23610,0
11141,1
25261,0
17588,1
40643,2
21455,1
40604,1
7324,2
3998,2
13810,0
4328,1
20087,2
32038,1
10818,2
31261,0
40356,1
10266,2
24439,2
30943,0
1784,1
24474,1
33778,1
26285,2
24693,1
39906,2
21162,1
37318,2
12108,2
38606,2
27448,0
24437,2
37257,2
10929,0
14256,2
1098,2
12982,2
5790,2
15541,1
17168,1
16424,2
7222,2
21474,2
3146,0
12015,2
25113,1
29162,2
16970,2
2891,0
15619,0
19972,0
9223,0
35679,2
33995,2
19466,0
22302,0
5682,0
2167,2
36781,2
39506,2
5314,0
6095,0
19636,0
5350,2
10901,0
10739,2
40766,0
3697,2
40816,2
15429,0
26802,2
31203,2
35249,1
1843,2
20128,0
34178,2
22957,2
5934,0
39405,2
25891,1
17098,1
22781,2
25683,0
11741,2
9158,1
35865,0
16041,0
24844,2
1960,1
1291,0
3680,0
37831,2
23317,0
17929,2
37283,0
32875,2
23341,2
39885,0
11160,1
18722,1
37926,1
32140,0
36321,0
6413,2
4249,0
32792,0
421,0
2463,0
30201,0
21348,0
30758,0
5672,1
29198,2
9033,2
36529,2
21169,0
7985,0
3452,2
3446,0
7250,0
10251,2
28890,1
21548,2
19076,2
10921,2
38752,2
8885,2
20442,0
33852,2
2448,0
36911,1
35874,1
5352,2
5230,0
35754,2
7510,2
18914,2
2353,0
2461,2
19392,0
27838,0
33238,2
793,0
22531,0
2277,0
21807,2
33365,2
20244,1
28451,0
28346,1
30427,2
24118,2
28646,2
15295,0
13873,2
24958,0
3617,0
7220,2
20074,2
27520,2
18753,0
2547,2
37309,2
29768,0
21029,2
35824,2
37350,2
23727,0
15075,2
1889,2
9513,0
10393,0
31765,2
622,2
194,2
37552,2
14508,0
18177,2
19162,2
37916,0
15724,2
5540,0
12251,2
25145,0
16764,2
16058,1
8319,2
14586,0
27609,0
10604,0
36607,2
24987,2
5109,0
15363,2
14877,0
22562,2
2211,2
16460,0
14358,2
27505,0
37819,0
31788,2
17231,0
2190,2
25976,2
17775,1
23949,2
36719,0
35357,0
33592,0
28722,0
5677,0
5843,1
5037,2
19285,1
38916,2
31258,0
39628,1
14999,1
10948,0
32159,1
38925,2
28688,1
13935,1
3540,0
24621,0
26187,2
10525,0
20245,0
41012,2
36282,1
36868,1
37329,2
18499,2
552,2
20900,2
9323,2
16579,0
35928,2
3011,0
33583,2
14392,2
36104,0
10997,1
39247,2
17939,2
36374,0
16496,2
12833,2
7337,0
3449,2
19238,1
21798,0
3678,0
1976,2
7400,0
27440,1
41115,1
10479,0
38157,2
13577,0
28817,2
16280,2
41019,2
34479,0
39398,0
33211,2
4144,2
16628,2
710,0
16535,0
11259,0
13092,0
4298,0
15319,1
2524,0
39349,0
23194,1
37537,2
20752,0
10240,2
22765,1
22583,1
31656,0
5999,1
36980,2
6847,0
39808,0
27068,2
36526,2
8165,1
14781,2
39927,0
3580,0
15138,1
6903,1
14861,0
35251,0
5755,1
35826,1
20543,2
18425,1
28828,2
20336,2
19872,0
12021,2
33863,0
29556,2
27713,2
8709,0
35424,2
19339,2
32029,2
41026,0
24047,2
31828,2
37103,0
33503,2
36290,1
37110,2
24878,0
21307,0
34491,2
17924,0
11026,2
38530,0
2160,0
32455,0
26156,2
25751,0
9233,1
15058,0
12425,2
8462,2
6935,0
25097,2
5863,0
18668,2
4199,0
32848,2
8065,1
19175,0
32394,2
11573,1
23395,0
801,0
18093,1
16804,2
22309,2
3255,2
6078,0
18985,2
24539,2
15330,1
31980,0
5969,0
20576,1
7807,0
4628,2
7754,2
34696,2
28566,2
15020,2
29211,0
23405,1
6518,0
15611,2
15555,1
17542,2
28292,2
38738,0
4318,2
39465,0
34616,2
30133,2
24724,2
2989,2
39309,2
7700,0
22320,2
39200,1
1392,2
28534,0
10485,2
25494,1
24923,1
10534,2
6326,0
20101,2
14653,0
24537,2
13232,2
35313,2
7005,2
40722,2
34661,0
23807,0
15088,0
21942,2
23930,2
883,0
864,0
13166,0
20029,2
33986,2
38083,2
32356,2
5010,2
13632,2
11748,0
14137,2
30699,2
17249,0
29543,0
3656,2
23450,0
14048,0
14340,0
26402,0
30622,0
40904,2
36123,2
20838,0
21263,2
10833,1
30521,1
23346,1
12800,2
20061,2
32164,2
11185,2
11402,0
13141,0
11841,0
24932,0
37665,2
40217,0
38658,0
35914,2
5446,0
26379,2
11799,2
1133,0
17435,1
34619,2
22989,0
3242,0
1804,0
11278,2
34878,0
556,0
16749,0
5988,0
26428,1
35662,2
22955,2
40649,1
1632,0
31274,2
8276,1
29608,0
21371,2
9339,2
30122,1
5088,2
2814,2
19582,2
26679,1
23648,2
10290,2
4737,0
18151,1
32325,0
32576,2
21511,2
22131,0
40057,2
18487,0
21847,0
20285,0
26740,0
26909,1
13495,0
14448,2
10971,2
4350,2
10219,2
6197,1
14505,2
17017,2
26245,1
13762,2
2427,2
34944,2
16129,0
33947,0
39564,0
37993,0
6273,0
29116,0
32745,2
296,0
9895,0
39733,2
37963,0
25545,2
15354,0
13994,2
33738,2
12232,0
38689,2
24162,0
34255,0
37765,1
21973,0
18466,2
20258,1
32523,0
431,0
31632,1
33958,2
22906,0
28632,0
12796,2
5809,0
40010,0
28055,0
41031,0
19547,0
22227,0
40545,0
3192,0
34021,0
27461,2
29094,1
22305,0
47,2
10005,2
23274,2
5155,2
39844,2
14562,0
1236,2
21300,2
14251,0
39073,2
34667,2
15880,0
38578,1
13344,0
40931,0
31837,0
41107,2
19448,2
40625,0
24831,1
36474,2
40814,2
28622,2
32845,2
1806,1
29571,2
13517,1
39929,2
13005,0
29940,2
16920,0
8488,2
39841,0
27442,2
35612,2
40655,2
4754,2
30778,0
6869,1
8816,0
19343,0
8808,0
21218,2
33488,2
39048,2
34579,2
24845,1
11183,0
40318,1
10629,2
29944,2
36981,0
1562,2
6527,2
5791,2
22902,2
16548,2
2898,2
10383,2
4081,0
34313,0
29784,0
10190,2
1730,2
36258,1
39295,2
13796,1
40987,0
26812,0
12820,0
13682,1
555,2
13059,1
10140,0
11511,0
7587,2
7302,0
5741,0
21649,2
8517,0
26157,1
39184,2
5342,2
12417,2
38114,2
30796,2
6813,2
14342,2
31924,2
26840,2
16926,2
27153,1
8046,2
38220,0
40633,1
10489,0
36348,2
19386,0
6993,0
285,1
14174,1
33223,1
21152,0
7912,2
27296,0
6792,2
26572,2
39875,2
15579,0
6230,2
35811,0
29816,1
30212,2
6058,0
17216,2
16580,0
1720,0
1945,0
39449,1
2342,2
394,2
29177,0
17499,0
7528,0
34568,2
11525,2
8795,0
11100,0
9474,1
22878,1
28007,2
40197,2
38566,2
40182,0
29228,0
5768,0
33195,0
13189,2
646,2
27883,0
27629,2
27230,1
10951,2
24404,1
25675,0
17339,0
8626,2
11998,0
14920,2
35793,2
3017,0
10322,2
12148,0
2581,2
34402,2
35507,0
24998,2
35691,1
802,0
5068,0
10349,0
24092,1
31702,0
28070,2
3655,0
38835,0
33329,2
5897,0
6285,0
28038,2
24940,0
25189,2
40412,1
23011,2
11545,2
23212,2
19554,2
3823,1
18659,0
483,0
13510,2
37559,2
21484,1
5871,0
5170,1
30183,2
18268,0
18091,0
2634,2
33569,1
22828,0
17634,2
14424,0
28486,1
27460,2
14928,0
37754,2
11764,2
9062,0
8162,2
39132,2
35066,0
31211,2
20486,1
29374,1
199,1
21305,0
39415,2
31998,2
2513,0
7690,0
38415,2
34709,1
11809,2
229,2
4875,1
9501,2
24843,2
2725,0
6136,0
361,0
37720,0
35450,0
10943,0
31908,2
30389,2
334,2
39968,1
1736,0
16584,0
38551,0
10886,2
23229,0
40402,0
31916,2
9597,2
9778,2
33934,2
34166,2
26235,0
8188,0
31392,0
4963,0
6291,2
27970,2
19666,2
36816,0
24169,0
1078,2
33328,1
16824,0
6794,0
7072,2
25471,2
15682,1
13492,2
7924,2
9678,1
24538,0
14279,0
29067,2
32221,2
10583,0
39697,1
40020,2
23182,2
8059,1
20527,2
37859,2
5273,1
40656,2
2134,2
37254,2
22411,2
18367,2
25907,2
34238,2
7581,0
40457,0
10295,2
31771,1
16512,2
31067,1
4506,2
37073,1
11603,0
26403,1
25414,2
7352,0
29049,0
25219,1
23699,0
7573,1
756,0
23023,0
31256,1
34340,0
26057,1
21047,2
4964,0
11847,1
1241,2
16318,0
31834,2
8768,0
24499,1
10284,0
8769,0
32291,0
33469,0
29273,2
35644,1
19436,1
20652,2
27829,1
15642,2
6832,2
1753,0
38180,2
27079,0
27262,2
24486,0
26445,2
9302,0
25973,0
37664,0
4163,0
10195,2
6498,2
14746,0
3391,2
30318,0
24307,0
9164,0
24859,1
25015,1
23810,0
23298,0
4968,2
2602,2
36105,2
16003,1
146,0
18808,2
516,0
12509,1
37031,0
18608,2
6412,0
20241,0
10018,0
33097,2
2013,2
11806,1
27612,1
8904,2
4293,2
33870,2
29362,2
15177,0
21818,1
24790,0
5135,2
33990,2
9091,0
40805,2
22982,0
966,0
6645,0
38794,2
2306,2
1903,2
38511,2
32717,2
25501,0
20380,2
24985,0
28982,2
2054,2
32392,1
21943,2
37799,0
23982,0
15703,2
8152,2
16656,2
1041,2
7590,2
21085,0
9765,1
12506,0
8790,2
27826,0
9504,0
2908,2
18639,1
24741,1
34595,1
15618,2
8143,0
4554,2
36893,2
4078,2
38748,2
13824,2
37740,0
32518,2
13687,0
9822,2
24926,0
11042,2
3375,2
7826,2
14041,2
2052,2
30034,2
17595,2
1883,0
23597,2
34480,1
18898,0
35758,2
33212,2
38591,1
26796,2
5808,2
19914,2
23641,0
35639,0
393,2
11883,0
37433,2
26534,1
1429,2
37094,2
37638,0
17296,2
37075,2
